doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Dr. Md. Nurul Alam,"MBBS, DCH, FCPS (Pediatrics)",Child Specialist,"Resident Physician, Pediatrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Nurul-Alam.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-nurul-alam/,,
Prof. Dr. M.R. Talukdar Mujib,"MBBS (Dhaka), MD (Child Health)","Neonatal, Adolescent & Child Diseases Specialist","Professor & Head, Pediatrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-M.R.-Talukdar-Mujib.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-m-r-talukdar-mujib/,,
Dr. Mahmudul Hasan Banna,"MBBS, BCS (Health), DTCD (BSMMU), CCD (BIRDEM), FCCP (USA)",Chest Diseases & Diabetes Specialist,"Consultant, Chest Diseases","TB Hospital, Barisal",Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mahmudul-Hasan-Banna.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mahmudul-hasan-banna/,,
Dr. Biplob Kumar Das,"MBBS, DDV","Skin, Allergy, Leprosy & Sex Diseases Specialist","Associate Professor, Dermatology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Biplob-Kumar-Das-.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-biplob-kumar-das/,,
Dr. S. M. Zahid Hasan,"MBBS, MD (Russia), CO (EYE), PhD (EYE)",Eye Specialist & Phaco Surgeon,"Consultant, Eye","BellView Hospital & Medical Services, Barisal",Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-S.-M.-Zahid-Hasan-.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-s-m-zahid-hasan/,,
Dr. Ashish Kumar Halder,"MBBS (Dhaka), DCH (Pediatrics), FCPS (Pediatrics)",Neonatal & Child Diseases Specialist,"Assistant Professor, Pediatrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Ashish-Kumar-Halder.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-ashish-kumar-halder/,,
Prof. Dr. Md. Zakir Hossain,"MBBS (Dhaka), PGT (Medicine), FRCP (EDEN), D-CARD (NICVD), FACC (USA)","Cardiology, Hypertension & Rheumatology Specialist",Professor (Cardiology),Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Md.-Zakir-Hossain.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-md-zakir-hossain/,,
Dr. Sheikh Shawkat Kamal,"MBBS, FCPS (ENT)","Ear, Nose, Throat Specialist & Head Neck Surgeon","Surgiscope Hospital, Chittagong",,Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Sheikh-Shawkat-Kamal.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-sheikh-shawkat-kamal/,,
Dr. Mohammad Emran,"MBBS, BCS (Health), DLO (BSMMU)","ENT (Ear, Nose, Throat) Specialist & Head Neck Surgeon",Chittagong Medical College & Hospital,"Consultant, ENT",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mohammad-Emran.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammad-emran/,,
Dr. Feroza Meher,"MBBS (CMC), Post Graduate Diploma in Dermatology (South Wales University, UK)",Aesthetic Dermatology & Cosmetology Specialist,"Surecell Medical, Chattogram","Consultant, Dermatology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Feroza-Meher.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-feroza-meher/,,
